<<<<<<< HEAD
name,gender,age,special,,,,
a,secret,23,running,b,c,,
b,Male,33,reading,a,e,,
c,Female,30,singing,a,d,f,
d,Male,60,swimming,a,c,,
e,Female,45,dancing,b,i,,
f,Male,32,listening,g,,,
g,secret,56,gaming,f,j,,
h,Male,77,foodball,a,e,,
i,Female,12,exercising,a,j,q,
j,secret,10,baseball,a,h,,
k,Female,8,walking,r,m,,
l,Male,33,cooking,b,d,k,u
m,Female,40,cleaning,l,k,u,
n,secret,27,studying,q,,,
o,Male,28,basketball,d,t,s,
p,Female,29,painting,n,,,
q,secret,30,drawing,p,n,,
r,secret,31,drinking,m,k,,
s,Male,32,eating,k,t,,
t,Female,33,talking,o,,,
u,secret,34,running,l,r,t,
=======
name,gender,age,special,,,,
a,secret,23,running,b,c,,
b,Male,33,reading,a,e,,
c,Female,30,singing,a,d,f,
d,Male,60,swimming,a,c,,
e,Female,45,dancing,b,i,,
f,Male,32,listening,g,,,
g,secret,56,gaming,f,j,,
h,Male,77,foodball,a,e,,
i,Female,12,exercising,a,j,q,
j,secret,10,baseball,a,h,,
k,Female,8,walking,r,m,,
l,Male,33,cooking,b,d,k,u
m,Female,40,cleaning,l,k,u,
n,secret,27,studying,q,,,
o,Male,28,basketball,d,t,s,
p,Female,29,painting,n,,,
q,secret,30,drawing,p,n,,
r,secret,31,drinking,m,k,,
s,Male,32,eating,k,t,,
t,Female,33,talking,o,,,
u,secret,34,running,l,r,t,
>>>>>>> origin/main
